web_scraper_order,web_scraper_start_url,container_link,name,price,location,image
"1765224665-72","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/taureau-metis-5538746","Taureau métis","2 500 000 CFA","Fatick, Sénégal",""
"1765224669-73","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/taureau-metis-dinsemination-5543760","Taureau métis d'insémination","2 500 000 CFA","Fatick, Sénégal",""
"1765224672-74","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-chinchilla-5543922","Chat Persan chinchilla","170 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1765224674-75","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/grand-bouc-hijazi-5547149","Grand Bouc Hijazi","1 200 CFA","Saint Louis, Sénégal",""
"1765224677-76","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/pintades-5547215","Pintades","Prix sur demande","Thies, Sénégal",""
"1765224680-77","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-perruches-ondulees-5560070","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal",""
"1765224683-78","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/uf-a-couver-5570463","Œuf à couver","Prix sur demande","Sicap foire, Dakar, Sénégal",""
"1765224685-79","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5577776","Bœufs","Prix sur demande","Pikine, Sénégal",""
"1765224689-80","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/vache-5587581","Vache","350 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1765224691-81","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/buf-5632012","Bœuf","725 CFA","Bambey, Sénégal",""
"1765224694-82","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/buf-5632019","Bœuf","650 CFA","Bambey, Sénégal",""
"1765224696-83","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/taureau-5634272","Taureau","2 500 000 CFA","Fatick, Sénégal",""
"1765224699-84","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5642438","Bœufs","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal",""
